Wavelength,Flux,FluxSmooth7,FluxSmooth15
3699.985312,251.184433,0.000000,0.000000
3700.837363,-393.165192,0.000000,0.000000
3701.689610,140.364517,140.364517,0.000000
3702.542054,-171.821243,140.364517,0.000000
3703.394694,303.407654,-24.956743,0.000000
3704.247530,277.897125,6.801857,6.801857
3705.100563,-174.591629,6.801857,7.468920
3705.953792,-24.956743,7.468920,7.468920
3706.807218,6.801857,6.801857,7.468920
3707.660840,134.506973,6.801857,47.511799
3708.514659,7.468920,7.468920,7.468920
3709.368674,-91.150551,7.468920,47.511799
3710.222886,47.511799,47.511799,47.511799
3711.077295,245.704361,47.511799,47.511799
3711.931900,-134.345963,47.511799,48.051952
3712.786703,48.051952,48.051952,48.051952
3713.641702,233.437302,50.100273,48.051952
3714.496898,-136.357803,50.100273,48.051952
3715.352291,50.100273,84.444084,50.100273
3716.207881,157.590439,84.444084,79.291870
3717.063668,84.444084,50.100273,84.444084
3717.919652,261.230804,84.444084,79.291870
3718.775833,-42.089783,84.444084,79.291870
3719.632212,-88.175995,84.444084,84.444084
3720.488787,479.334778,128.148972,79.291870
3721.345560,79.291870,79.291870,79.291870
3722.202530,128.148972,79.291870,79.291870
3723.059698,389.807434,128.148972,79.291870
3723.917063,-234.941254,79.291870,4.121902
3724.774625,4.121902,4.121902,-42.089783
3725.632385,223.781372,-123.038765,4.121902
3726.490342,-123.038765,-123.038765,79.291870
3727.348497,-124.157516,-120.765656,4.121902
3728.206849,-152.029968,-123.038765,4.121902
3729.065400,98.093819,-123.038765,-120.765656
3729.924148,-120.765656,-120.765656,-123.038765
3730.783093,-176.728943,-120.765656,-120.765656
3731.642237,103.628822,33.445156,-120.765656
3732.501578,116.760574,-120.765656,-120.765656
3733.361117,-360.657410,-163.472397,-41.070919
3734.220854,33.445156,33.445156,-9.623141
3735.080789,-256.786316,-41.070919,33.445156
3735.940923,-163.472397,-41.070919,33.445156
3736.801254,235.341614,33.445156,35.146587
3737.661783,-41.070919,-9.623141,90.935432
3738.522511,226.764481,155.815887,35.146587
3739.383436,177.065414,155.815887,35.146587
3740.244560,-9.623141,90.935432,35.146587
3741.105883,155.815887,155.815887,90.935432
3741.967403,90.935432,90.935432,90.935432
3742.829122,35.146587,90.935432,90.935432
3743.691040,218.731186,90.935432,90.935432
3744.553156,-62.676922,90.935432,90.935432
3745.415470,116.166916,35.146587,48.453903
3746.277983,-93.525253,-10.244230,48.453903
3747.140695,110.191483,-10.244230,90.935432
3748.003606,-114.880615,-10.244230,90.935432
3748.866715,-10.244230,-10.244230,48.453903
3749.730022,103.344025,48.453903,103.344025
3750.593529,-170.428314,48.453903,103.344025
3751.457235,48.453903,103.344025,103.344025
3752.321139,105.309219,103.344025,63.330376
3753.185242,347.347290,105.309219,63.330376
3754.049545,203.851059,166.253525,63.330376
3754.914046,-16.819141,166.253525,63.330376
3755.778747,407.144989,166.253525,73.148811
3756.643646,166.253525,63.330376,63.330376
3757.508745,53.408607,63.330376,63.330376
3758.374043,63.330376,63.330376,63.330376
3759.239540,0.942635,63.330376,53.408607
3760.105237,111.414017,53.408607,53.408607
3760.971133,2.950442,2.950442,53.408607
3761.837228,73.148811,2.950442,53.408607
3762.703523,-41.797493,2.950442,53.408607
