#Normalization-constant  1.09519e+02
#lambda         flux
1.1124304e+00  9.26218e-01
1.1124465e+00  9.71182e-01
1.1124624e+00  1.03151e+00
1.1124785e+00  9.73427e-01
1.1124945e+00  9.83577e-01
1.1125106e+00  9.56242e-01
1.1125266e+00  9.67504e-01
1.1125427e+00  9.64402e-01
1.1125586e+00  9.19017e-01
1.1125746e+00  9.46462e-01
1.1125907e+00  9.53142e-01
1.1126067e+00  9.73656e-01
1.1126228e+00  1.07147e+00
1.1126387e+00  1.04122e+00
1.1126548e+00  9.77401e-01
1.1126708e+00  9.98991e-01
1.1126869e+00  1.07079e+00
1.1127029e+00  9.67184e-01
1.1127190e+00  9.90757e-01
1.1127350e+00  1.05825e+00
1.1127510e+00  1.02627e+00
1.1127670e+00  9.46611e-01
1.1127831e+00  9.37610e-01
1.1127991e+00  9.78990e-01
1.1128151e+00  9.78795e-01
1.1128312e+00  1.01040e+00
1.1128471e+00  1.03645e+00
1.1128632e+00  1.05819e+00
1.1128792e+00  1.08793e+00
1.1128953e+00  1.09832e+00
1.1129113e+00  1.06784e+00
1.1129274e+00  1.00907e+00
1.1129433e+00  9.94050e-01
1.1129594e+00  1.02006e+00
1.1129754e+00  9.96395e-01
1.1129915e+00  1.02278e+00
1.1130075e+00  1.02711e+00
1.1130236e+00  1.11067e+00
1.1130395e+00  9.63743e-01
1.1130556e+00  1.00194e+00
1.1130716e+00  9.88064e-01
1.1130876e+00  1.00713e+00
1.1131037e+00  9.49432e-01
1.1131196e+00  9.95724e-01
1.1131357e+00  1.00956e+00
1.1131517e+00  9.63533e-01
1.1131678e+00  9.31403e-01
1.1131838e+00  9.50345e-01
1.1131999e+00  9.43714e-01
1.1132158e+00  9.46406e-01
1.1132319e+00  9.86578e-01
1.1132479e+00  8.83178e-01
1.1132640e+00  9.53508e-01
1.1132800e+00  1.03467e+00
1.1132961e+00  9.94751e-01
1.1133120e+00  1.00986e+00
1.1133281e+00  9.45274e-01
1.1133441e+00  9.31821e-01
1.1133601e+00  9.63758e-01
1.1133762e+00  1.03612e+00
1.1133922e+00  9.47161e-01
1.1134082e+00  9.02824e-01
1.1134242e+00  9.83250e-01
1.1134403e+00  9.79503e-01
1.1134563e+00  9.39666e-01
1.1134724e+00  9.34265e-01
1.1134884e+00  9.46924e-01
1.1135044e+00  9.72138e-01
1.1135204e+00  9.88940e-01
1.1135365e+00  1.02070e+00
1.1135525e+00  9.90129e-01
1.1135686e+00  9.44583e-01
1.1135846e+00  9.68665e-01
1.1136006e+00  9.43740e-01
1.1136166e+00  1.02269e+00
1.1136326e+00  9.64563e-01
1.1136487e+00  9.54354e-01
1.1136648e+00  1.02592e+00
1.1136809e+00  1.00414e+00
1.1136968e+00  9.79718e-01
1.1137129e+00  1.04539e+00
1.1137289e+00  9.91546e-01
1.1137450e+00  9.88497e-01
1.1137610e+00  9.72831e-01
1.1137771e+00  9.40661e-01
1.1137930e+00  9.72093e-01
1.1138091e+00  1.02905e+00
1.1138251e+00  1.07125e+00
1.1138412e+00  9.96364e-01
1.1138572e+00  1.01545e+00
