#Normalization-constant  5.11493e+02
#lambda         flux
1.0963828e+00  1.05537e+00
1.0963986e+00  1.08589e+00
1.0964144e+00  1.12547e+00
1.0964302e+00  1.14212e+00
1.0964459e+00  1.17746e+00
1.0964616e+00  1.09781e+00
1.0964774e+00  1.03910e+00
1.0964932e+00  1.06473e+00
1.0965090e+00  1.09875e+00
1.0965247e+00  1.07337e+00
1.0965404e+00  1.05177e+00
1.0965562e+00  1.03437e+00
1.0965720e+00  1.03861e+00
1.0965877e+00  1.01214e+00
1.0966035e+00  1.11315e+00
1.0966192e+00  1.06051e+00
1.0966350e+00  9.93316e-01
1.0966508e+00  9.75719e-01
1.0966665e+00  1.04006e+00
1.0966823e+00  1.05545e+00
1.0966980e+00  9.36405e-01
1.0967138e+00  9.73444e-01
1.0967296e+00  9.63424e-01
1.0967453e+00  1.06050e+00
1.0967611e+00  1.02008e+00
1.0967768e+00  1.02019e+00
1.0967926e+00  9.83098e-01
1.0968085e+00  9.31685e-01
1.0968242e+00  9.35623e-01
1.0968400e+00  9.65527e-01
1.0968557e+00  1.02376e+00
1.0968714e+00  9.75784e-01
1.0968873e+00  9.86380e-01
1.0969030e+00  1.05747e+00
1.0969188e+00  9.67969e-01
1.0969345e+00  9.69344e-01
1.0969502e+00  9.72792e-01
1.0969661e+00  1.06255e+00
1.0969818e+00  1.04345e+00
1.0969976e+00  1.00780e+00
1.0970133e+00  1.03057e+00
1.0970290e+00  9.52143e-01
1.0970449e+00  1.05313e+00
1.0970606e+00  1.04228e+00
1.0970764e+00  1.02696e+00
1.0970921e+00  1.02840e+00
1.0971080e+00  1.01435e+00
1.0971237e+00  1.03111e+00
1.0971394e+00  1.06467e+00
1.0971552e+00  1.05894e+00
1.0971709e+00  1.09057e+00
1.0971868e+00  1.00737e+00
1.0972025e+00  1.05044e+00
1.0972182e+00  1.01288e+00
1.0972340e+00  1.01133e+00
1.0972497e+00  1.02410e+00
1.0972656e+00  1.04976e+00
1.0972813e+00  9.78034e-01
1.0972970e+00  1.04843e+00
1.0973128e+00  9.73912e-01
1.0973285e+00  9.71701e-01
1.0973444e+00  1.04121e+00
1.0973601e+00  1.01307e+00
1.0973758e+00  1.04772e+00
1.0973916e+00  1.07502e+00
1.0974073e+00  9.94220e-01
1.0974231e+00  9.53782e-01
1.0974389e+00  1.03617e+00
1.0974546e+00  1.07307e+00
1.0974704e+00  1.01871e+00
1.0974861e+00  1.01253e+00
1.0975019e+00  1.05136e+00
1.0975177e+00  1.04832e+00
1.0975334e+00  1.03052e+00
1.0975492e+00  1.04461e+00
1.0975649e+00  1.08386e+00
1.0975807e+00  1.07470e+00
1.0975965e+00  1.01860e+00
1.0976122e+00  1.00776e+00
1.0976279e+00  1.06599e+00
1.0976437e+00  1.01973e+00
1.0976595e+00  9.93419e-01
1.0976753e+00  9.93627e-01
1.0976910e+00  1.06110e+00
1.0977067e+00  1.04433e+00
