#Normalization-constant  6.46299e+02
#lambda         flux
1.0807940e+00  1.03006e+00
1.0808096e+00  1.03779e+00
1.0808251e+00  1.01352e+00
1.0808407e+00  1.01177e+00
1.0808562e+00  1.11109e+00
1.0808718e+00  1.05913e+00
1.0808873e+00  1.06924e+00
1.0809029e+00  1.09120e+00
1.0809184e+00  1.08856e+00
1.0809340e+00  1.00061e+00
1.0809497e+00  1.06983e+00
1.0809651e+00  9.61888e-01
1.0809808e+00  1.03922e+00
1.0809963e+00  9.70845e-01
1.0810119e+00  1.02924e+00
1.0810274e+00  1.09537e+00
1.0810430e+00  1.07884e+00
1.0810585e+00  1.08831e+00
1.0810741e+00  1.04833e+00
1.0810896e+00  9.98594e-01
1.0811052e+00  1.05090e+00
1.0811207e+00  9.67752e-01
1.0811363e+00  1.08137e+00
1.0811518e+00  9.98078e-01
1.0811674e+00  9.69585e-01
1.0811829e+00  1.02736e+00
1.0811986e+00  9.54357e-01
1.0812141e+00  9.88375e-01
1.0812297e+00  1.05307e+00
1.0812453e+00  1.05207e+00
1.0812608e+00  1.01852e+00
1.0812764e+00  9.85266e-01
1.0812919e+00  9.90911e-01
1.0813075e+00  1.04306e+00
1.0813230e+00  1.08524e+00
1.0813386e+00  1.02109e+00
1.0813541e+00  9.85856e-01
1.0813697e+00  9.69285e-01
1.0813852e+00  1.03073e+00
1.0814009e+00  1.03168e+00
1.0814164e+00  9.59045e-01
1.0814320e+00  9.96144e-01
1.0814475e+00  1.08236e+00
1.0814631e+00  1.04991e+00
1.0814786e+00  1.03031e+00
1.0814942e+00  1.06494e+00
1.0815097e+00  1.04980e+00
1.0815253e+00  9.56170e-01
1.0815409e+00  1.03868e+00
1.0815564e+00  1.01051e+00
1.0815720e+00  9.90564e-01
1.0815875e+00  9.87876e-01
1.0816032e+00  1.01033e+00
1.0816187e+00  9.79705e-01
1.0816343e+00  9.72687e-01
1.0816498e+00  1.05463e+00
1.0816654e+00  1.03326e+00
1.0816809e+00  1.06752e+00
1.0816965e+00  1.09282e+00
1.0817120e+00  1.07295e+00
1.0817276e+00  1.07663e+00
1.0817431e+00  1.00557e+00
1.0817587e+00  1.07889e+00
1.0817742e+00  1.08549e+00
1.0817898e+00  1.03133e+00
1.0818055e+00  1.03072e+00
1.0818210e+00  1.03452e+00
1.0818366e+00  1.07261e+00
1.0818521e+00  1.07571e+00
1.0818677e+00  1.03737e+00
1.0818832e+00  9.95361e-01
1.0818988e+00  1.06947e+00
1.0819143e+00  1.04216e+00
1.0819299e+00  1.00764e+00
1.0819454e+00  1.06592e+00
1.0819610e+00  1.02765e+00
1.0819765e+00  1.01810e+00
1.0819921e+00  9.81624e-01
1.0820076e+00  9.58434e-01
1.0820232e+00  9.89286e-01
1.0820387e+00  9.66357e-01
1.0820544e+00  9.33255e-01
1.0820699e+00  9.26632e-01
1.0820855e+00  9.50194e-01
1.0821011e+00  9.65705e-01
1.0821166e+00  9.68991e-01
1.0821322e+00  1.00088e+00
1.0821477e+00  9.68106e-01
1.0821633e+00  9.19694e-01
1.0821788e+00  8.98189e-01
1.0821944e+00  9.15188e-01
1.0822099e+00  9.27253e-01
1.0822255e+00  9.25638e-01
1.0822410e+00  9.39636e-01
1.0822567e+00  9.20653e-01
1.0822722e+00  8.88729e-01
1.0822878e+00  9.15424e-01
1.0823033e+00  9.08308e-01
1.0823189e+00  8.80535e-01
1.0823344e+00  9.00955e-01
1.0823500e+00  8.59543e-01
1.0823656e+00  8.64656e-01
1.0823812e+00  8.49374e-01
1.0823968e+00  9.01068e-01
1.0824123e+00  8.73423e-01
1.0824279e+00  8.54521e-01
1.0824434e+00  8.70903e-01
1.0824591e+00  8.96501e-01
1.0824746e+00  8.89966e-01
1.0824902e+00  8.86547e-01
1.0825057e+00  8.85138e-01
1.0825213e+00  8.55610e-01
1.0825368e+00  8.80941e-01
1.0825524e+00  8.71344e-01
1.0825679e+00  8.97222e-01
1.0825835e+00  8.40393e-01
1.0825990e+00  8.20797e-01
1.0826146e+00  8.82960e-01
1.0826301e+00  8.70814e-01
1.0826457e+00  8.60864e-01
1.0826612e+00  8.58964e-01
1.0826769e+00  8.78065e-01
1.0826925e+00  8.62486e-01
1.0827080e+00  9.01277e-01
1.0827236e+00  9.05883e-01
1.0827391e+00  8.74510e-01
1.0827547e+00  8.44435e-01
1.0827702e+00  8.70749e-01
1.0827858e+00  8.84838e-01
1.0828013e+00  9.03743e-01
1.0828169e+00  9.02672e-01
1.0828324e+00  8.70765e-01
1.0828480e+00  8.09345e-01
1.0828635e+00  8.49723e-01
1.0828792e+00  8.68389e-01
1.0828947e+00  9.16005e-01
1.0829103e+00  8.99412e-01
1.0829258e+00  8.54646e-01
1.0829414e+00  9.14106e-01
1.0829569e+00  9.72932e-01
1.0829725e+00  1.04161e+00
