#Normalization-constant  6.60334e+02
#lambda         flux
1.0656538e+00  1.04190e+00
1.0656692e+00  1.01794e+00
1.0656846e+00  9.89671e-01
1.0657000e+00  9.62522e-01
1.0657152e+00  1.02404e+00
1.0657306e+00  9.99373e-01
1.0657460e+00  1.01480e+00
1.0657613e+00  1.01875e+00
1.0657767e+00  9.24641e-01
1.0657920e+00  9.22506e-01
1.0658074e+00  1.01031e+00
1.0658227e+00  1.00523e+00
1.0658381e+00  1.01544e+00
1.0658534e+00  9.59591e-01
1.0658688e+00  9.37018e-01
1.0658841e+00  9.51147e-01
1.0658995e+00  9.75180e-01
1.0659148e+00  9.43976e-01
1.0659301e+00  1.01408e+00
1.0659455e+00  1.00895e+00
1.0659609e+00  9.43764e-01
1.0659762e+00  9.50242e-01
1.0659915e+00  1.03808e+00
1.0660069e+00  9.52181e-01
1.0660223e+00  9.61423e-01
1.0660377e+00  9.45035e-01
1.0660529e+00  9.93198e-01
1.0660683e+00  9.52087e-01
1.0660837e+00  9.18017e-01
1.0660991e+00  9.82358e-01
1.0661143e+00  9.42523e-01
1.0661297e+00  9.18835e-01
1.0661451e+00  9.19439e-01
1.0661605e+00  9.50320e-01
1.0661757e+00  9.13166e-01
1.0661911e+00  8.91144e-01
1.0662065e+00  8.58919e-01
1.0662219e+00  8.61486e-01
1.0662371e+00  8.91590e-01
1.0662525e+00  9.20102e-01
1.0662679e+00  8.61344e-01
1.0662832e+00  9.22091e-01
1.0662986e+00  8.43361e-01
1.0663139e+00  8.57596e-01
1.0663293e+00  8.62996e-01
1.0663446e+00  9.27540e-01
1.0663600e+00  9.32159e-01
1.0663753e+00  9.41823e-01
1.0663907e+00  9.44729e-01
1.0664060e+00  9.12110e-01
1.0664214e+00  8.63762e-01
1.0664367e+00  8.99755e-01
1.0664520e+00  8.45519e-01
1.0664674e+00  8.73717e-01
1.0664828e+00  8.98076e-01
1.0664981e+00  9.37030e-01
1.0665134e+00  9.47002e-01
1.0665288e+00  9.20679e-01
1.0665442e+00  8.88727e-01
1.0665596e+00  8.73266e-01
1.0665748e+00  8.98662e-01
1.0665902e+00  8.73070e-01
1.0666056e+00  9.52010e-01
1.0666210e+00  9.27343e-01
1.0666362e+00  9.32961e-01
1.0666516e+00  9.80842e-01
1.0666670e+00  9.73663e-01
1.0666824e+00  9.52308e-01
1.0666976e+00  9.58991e-01
1.0667130e+00  9.49738e-01
1.0667285e+00  1.05406e+00
1.0667439e+00  1.01583e+00
1.0667591e+00  1.02349e+00
