#Normalization-constant  6.96989e+02
#lambda         flux
1.0509432e+00  8.94135e-01
1.0509583e+00  9.38337e-01
1.0509735e+00  1.00123e+00
1.0509886e+00  1.03125e+00
1.0510038e+00  1.07098e+00
1.0510189e+00  9.93285e-01
1.0510340e+00  9.93780e-01
1.0510492e+00  9.39008e-01
1.0510643e+00  9.17895e-01
1.0510795e+00  9.69417e-01
1.0510947e+00  1.01144e+00
1.0511098e+00  1.02313e+00
1.0511248e+00  9.43907e-01
1.0511400e+00  9.49233e-01
1.0511551e+00  9.09853e-01
1.0511703e+00  9.37721e-01
1.0511854e+00  8.44036e-01
1.0512005e+00  9.43049e-01
1.0512157e+00  9.71768e-01
1.0512308e+00  9.97756e-01
1.0512460e+00  9.26038e-01
1.0512611e+00  8.68282e-01
1.0512762e+00  9.45870e-01
1.0512914e+00  9.65336e-01
1.0513065e+00  1.00497e+00
1.0513215e+00  9.70500e-01
1.0513367e+00  9.81116e-01
1.0513518e+00  9.99750e-01
1.0513670e+00  9.98276e-01
1.0513821e+00  9.80073e-01
1.0513972e+00  1.00068e+00
1.0514124e+00  1.02039e+00
1.0514275e+00  9.97732e-01
1.0514427e+00  9.61273e-01
1.0514578e+00  9.76041e-01
1.0514729e+00  9.98805e-01
1.0514881e+00  1.00471e+00
1.0515031e+00  9.84168e-01
1.0515182e+00  9.91803e-01
1.0515334e+00  1.02498e+00
1.0515485e+00  1.01843e+00
1.0515637e+00  1.00347e+00
1.0515788e+00  9.96340e-01
1.0515939e+00  1.00505e+00
1.0516091e+00  1.00626e+00
1.0516242e+00  9.80146e-01
1.0516394e+00  1.01095e+00
1.0516545e+00  9.95494e-01
1.0516696e+00  9.81404e-01
1.0516848e+00  1.00597e+00
1.0516998e+00  1.03260e+00
1.0517149e+00  1.01275e+00
1.0517301e+00  9.80267e-01
1.0517452e+00  9.79992e-01
1.0517604e+00  9.94335e-01
1.0517755e+00  1.01389e+00
1.0517906e+00  9.79892e-01
1.0518058e+00  9.99516e-01
1.0518209e+00  9.79846e-01
1.0518361e+00  1.02503e+00
1.0518512e+00  9.91078e-01
