#Normalization-constant  7.65839e+02
#lambda         flux
1.0366257e+00  1.05387e+00
1.0366406e+00  1.14278e+00
1.0366555e+00  1.09135e+00
1.0366704e+00  1.05985e+00
1.0366853e+00  1.05303e+00
1.0367002e+00  1.02581e+00
1.0367152e+00  1.02412e+00
1.0367301e+00  1.01461e+00
1.0367450e+00  1.04495e+00
1.0367599e+00  1.05397e+00
1.0367748e+00  9.95472e-01
1.0367897e+00  1.01979e+00
1.0368046e+00  9.37470e-01
1.0368196e+00  1.01814e+00
1.0368345e+00  9.94403e-01
1.0368495e+00  9.80716e-01
1.0368644e+00  9.72098e-01
1.0368793e+00  9.94192e-01
1.0368942e+00  9.89536e-01
1.0369092e+00  1.04691e+00
1.0369241e+00  1.03958e+00
1.0369390e+00  9.88780e-01
1.0369539e+00  9.91742e-01
1.0369688e+00  9.68637e-01
1.0369837e+00  1.00810e+00
1.0369987e+00  1.00185e+00
1.0370136e+00  1.04809e+00
1.0370285e+00  9.85369e-01
1.0370434e+00  1.08140e+00
1.0370583e+00  1.03284e+00
1.0370732e+00  1.02156e+00
1.0370881e+00  1.06949e+00
1.0371031e+00  1.07594e+00
1.0371180e+00  9.94783e-01
1.0371329e+00  9.58085e-01
1.0371478e+00  1.00674e+00
1.0371627e+00  9.44394e-01
1.0371776e+00  1.02054e+00
1.0371927e+00  1.01231e+00
1.0372076e+00  1.00708e+00
1.0372225e+00  9.66085e-01
1.0372374e+00  9.74007e-01
1.0372523e+00  1.00693e+00
1.0372672e+00  9.50379e-01
1.0372822e+00  9.58304e-01
1.0372971e+00  9.73299e-01
1.0373120e+00  1.04780e+00
1.0373269e+00  1.03630e+00
1.0373418e+00  1.05632e+00
1.0373567e+00  1.00431e+00
1.0373716e+00  9.84792e-01
1.0373867e+00  9.90633e-01
1.0374016e+00  9.90943e-01
1.0374165e+00  1.00804e+00
1.0374314e+00  1.01157e+00
1.0374463e+00  1.00863e+00
1.0374612e+00  1.01535e+00
1.0374762e+00  1.01396e+00
1.0374911e+00  1.01400e+00
1.0375060e+00  9.34313e-01
1.0375209e+00  1.01096e+00
1.0375358e+00  1.00096e+00
1.0375507e+00  9.70087e-01
1.0375658e+00  9.94369e-01
1.0375807e+00  1.02516e+00
1.0375956e+00  9.56965e-01
1.0376105e+00  9.59624e-01
1.0376254e+00  9.46840e-01
1.0376403e+00  9.87607e-01
1.0376552e+00  9.62411e-01
1.0376702e+00  9.72292e-01
1.0376851e+00  1.00511e+00
1.0377000e+00  1.04595e+00
1.0377149e+00  1.03046e+00
1.0377298e+00  1.01475e+00
1.0377447e+00  1.04517e+00
1.0377597e+00  1.03438e+00
1.0377746e+00  9.80951e-01
1.0377895e+00  1.05177e+00
1.0378044e+00  1.05879e+00
1.0378193e+00  9.77351e-01
1.0378342e+00  9.60214e-01
1.0378492e+00  9.66776e-01
1.0378641e+00  1.00438e+00
1.0378790e+00  9.77199e-01
1.0378939e+00  9.85587e-01
1.0379088e+00  9.91728e-01
1.0379237e+00  1.00124e+00
1.0379386e+00  1.00306e+00
1.0379537e+00  1.02435e+00
1.0379686e+00  1.00714e+00
1.0379835e+00  9.64910e-01
1.0379984e+00  9.96489e-01
1.0380133e+00  1.03598e+00
1.0380282e+00  1.00174e+00
1.0380432e+00  9.88838e-01
1.0380581e+00  9.61633e-01
1.0380730e+00  9.43221e-01
1.0380879e+00  9.72345e-01
1.0381028e+00  1.06377e+00
1.0381177e+00  1.01730e+00
1.0381327e+00  1.04209e+00
1.0381476e+00  1.03480e+00
1.0381625e+00  9.69412e-01
1.0381774e+00  9.89538e-01
1.0381923e+00  1.05138e+00
1.0382072e+00  1.02044e+00
1.0382221e+00  1.00788e+00
1.0382371e+00  9.77645e-01
1.0382520e+00  9.69800e-01
1.0382669e+00  9.97112e-01
1.0382819e+00  9.79262e-01
1.0382968e+00  1.01588e+00
1.0383117e+00  9.83548e-01
1.0383267e+00  9.78144e-01
1.0383416e+00  9.62664e-01
1.0383565e+00  9.93606e-01
1.0383714e+00  1.02224e+00
1.0383863e+00  9.69510e-01
1.0384012e+00  9.88956e-01
1.0384162e+00  9.99050e-01
1.0384311e+00  1.00076e+00
1.0384460e+00  1.00141e+00
1.0384609e+00  9.61256e-01
1.0384758e+00  1.02855e+00
1.0384907e+00  1.00077e+00
1.0385056e+00  9.62328e-01
1.0385206e+00  9.71312e-01
1.0385355e+00  1.04498e+00
1.0385504e+00  1.04580e+00
1.0385653e+00  1.00545e+00
1.0385802e+00  1.01536e+00
1.0385951e+00  9.72996e-01
1.0386102e+00  1.01309e+00
1.0386251e+00  1.03150e+00
1.0386400e+00  1.04163e+00
1.0386549e+00  1.02950e+00
1.0386698e+00  1.01669e+00
1.0386847e+00  1.04606e+00
1.0386997e+00  1.08386e+00
