#Normalization-constant  3.85227e+03
#lambda         flux
1.0805272e+00  9.92998e-01
1.0805428e+00  1.02077e+00
1.0805584e+00  9.97369e-01
1.0805739e+00  9.99443e-01
1.0805896e+00  9.56193e-01
1.0806050e+00  9.78169e-01
1.0806207e+00  9.93611e-01
1.0806363e+00  9.90573e-01
1.0806518e+00  9.92598e-01
1.0806674e+00  9.63521e-01
1.0806829e+00  9.64985e-01
1.0806985e+00  9.93407e-01
1.0807141e+00  1.00494e+00
1.0807296e+00  1.01239e+00
1.0807452e+00  1.02970e+00
1.0807607e+00  1.00086e+00
1.0807764e+00  9.99696e-01
1.0807920e+00  9.76192e-01
1.0808075e+00  9.89726e-01
1.0808231e+00  9.95792e-01
1.0808387e+00  9.88684e-01
1.0808542e+00  1.00128e+00
1.0808698e+00  9.89600e-01
1.0808853e+00  9.87604e-01
1.0809009e+00  9.84352e-01
1.0809165e+00  9.95432e-01
1.0809320e+00  9.79250e-01
1.0809477e+00  9.81197e-01
1.0809632e+00  9.91839e-01
1.0809788e+00  1.00375e+00
1.0809944e+00  9.71771e-01
1.0810099e+00  9.81090e-01
1.0810255e+00  9.85841e-01
1.0810410e+00  9.72427e-01
1.0810566e+00  1.01042e+00
1.0810722e+00  9.99171e-01
1.0810877e+00  9.93592e-01
1.0811033e+00  9.83797e-01
1.0811190e+00  9.83738e-01
1.0811345e+00  9.89785e-01
1.0811501e+00  9.77137e-01
1.0811656e+00  9.78490e-01
1.0811812e+00  9.73508e-01
1.0811968e+00  9.81820e-01
1.0812123e+00  9.72239e-01
1.0812279e+00  9.80915e-01
1.0812434e+00  9.65993e-01
1.0812590e+00  9.58766e-01
1.0812746e+00  9.65310e-01
1.0812901e+00  9.64424e-01
1.0813058e+00  9.92881e-01
1.0813213e+00  9.94896e-01
1.0813369e+00  9.92024e-01
1.0813525e+00  9.75618e-01
1.0813680e+00  9.71163e-01
1.0813836e+00  9.78169e-01
1.0813992e+00  9.75277e-01
1.0814147e+00  9.86046e-01
1.0814303e+00  9.84089e-01
1.0814458e+00  1.00133e+00
1.0814614e+00  9.95042e-01
1.0814771e+00  9.85130e-01
1.0814926e+00  9.36050e-01
1.0815082e+00  9.19235e-01
1.0815237e+00  9.68402e-01
1.0815393e+00  9.63155e-01
1.0815549e+00  9.61375e-01
1.0815704e+00  9.88246e-01
1.0815860e+00  1.04572e+00
1.0816015e+00  1.01479e+00
1.0816171e+00  9.57302e-01
1.0816328e+00  9.62670e-01
1.0816482e+00  9.57273e-01
1.0816639e+00  9.75735e-01
1.0816794e+00  1.00883e+00
1.0816950e+00  9.99511e-01
1.0817106e+00  1.00271e+00
1.0817261e+00  1.01105e+00
1.0817417e+00  9.69280e-01
1.0817573e+00  9.64931e-01
1.0817728e+00  9.89113e-01
1.0817884e+00  9.88655e-01
1.0818039e+00  9.89395e-01
1.0818196e+00  9.93601e-01
1.0818352e+00  9.65336e-01
1.0818507e+00  9.64183e-01
