#Normalization-constant  1.21649e+04
#lambda         flux
1.0805757e+00  1.02908e+00
1.0805913e+00  1.00206e+00
1.0806069e+00  1.01797e+00
1.0806224e+00  1.00963e+00
1.0806380e+00  1.00296e+00
1.0806536e+00  1.00767e+00
1.0806693e+00  1.01775e+00
1.0806848e+00  1.02076e+00
1.0807004e+00  1.01559e+00
1.0807160e+00  1.01704e+00
1.0807315e+00  1.01056e+00
1.0807471e+00  1.01344e+00
1.0807627e+00  1.01034e+00
1.0807782e+00  1.02291e+00
1.0807938e+00  1.03136e+00
1.0808094e+00  1.02734e+00
1.0808249e+00  1.03000e+00
1.0808406e+00  1.02498e+00
1.0808562e+00  1.03223e+00
1.0808718e+00  1.02319e+00
1.0808873e+00  1.01493e+00
1.0809029e+00  1.02597e+00
1.0809185e+00  1.02029e+00
1.0809340e+00  1.02690e+00
1.0809496e+00  1.02681e+00
1.0809653e+00  1.02510e+00
1.0809808e+00  1.03116e+00
1.0809964e+00  1.02067e+00
1.0810120e+00  1.04416e+00
1.0810275e+00  1.03469e+00
1.0810431e+00  1.03358e+00
1.0810587e+00  1.02088e+00
1.0810743e+00  1.02744e+00
1.0810898e+00  1.00423e+00
1.0811054e+00  9.78857e-01
1.0811211e+00  9.74188e-01
1.0811366e+00  9.91284e-01
1.0811522e+00  9.69957e-01
1.0811678e+00  9.55745e-01
1.0811833e+00  9.60943e-01
1.0811989e+00  9.53488e-01
1.0812145e+00  9.58474e-01
1.0812301e+00  9.67921e-01
1.0812456e+00  9.74879e-01
1.0812612e+00  9.66227e-01
1.0812769e+00  9.73807e-01
1.0812924e+00  9.69607e-01
1.0813080e+00  9.71908e-01
1.0813236e+00  9.76453e-01
1.0813391e+00  9.69774e-01
1.0813547e+00  9.72980e-01
1.0813703e+00  9.82084e-01
1.0813858e+00  9.86641e-01
1.0814014e+00  9.92510e-01
1.0814171e+00  9.78226e-01
1.0814327e+00  9.81105e-01
1.0814482e+00  9.89061e-01
1.0814638e+00  9.73541e-01
1.0814794e+00  9.78528e-01
1.0814949e+00  9.84527e-01
1.0815105e+00  9.77353e-01
1.0815261e+00  9.80383e-01
1.0815416e+00  9.62967e-01
1.0815572e+00  9.72744e-01
1.0815729e+00  9.73759e-01
1.0815884e+00  9.81977e-01
1.0816040e+00  9.89429e-01
1.0816196e+00  9.93988e-01
1.0816352e+00  1.00930e+00
1.0816507e+00  1.02046e+00
1.0816663e+00  1.02233e+00
1.0816819e+00  1.02966e+00
1.0816974e+00  1.03188e+00
1.0817131e+00  1.02592e+00
1.0817287e+00  1.02624e+00
1.0817442e+00  1.02776e+00
1.0817598e+00  1.02983e+00
1.0817754e+00  1.02688e+00
1.0817910e+00  1.02625e+00
1.0818065e+00  1.00697e+00
1.0818221e+00  1.01227e+00
1.0818377e+00  1.01425e+00
1.0818532e+00  1.01163e+00
1.0818689e+00  1.01643e+00
1.0818845e+00  1.01901e+00
1.0819000e+00  1.01078e+00
1.0819156e+00  1.01627e+00
1.0819312e+00  1.01550e+00
1.0819467e+00  1.02727e+00
1.0819623e+00  1.01950e+00
1.0819779e+00  1.02328e+00
1.0819936e+00  1.00678e+00
1.0820090e+00  1.01232e+00
1.0820247e+00  1.00805e+00
1.0820403e+00  9.72228e-01
1.0820558e+00  9.85692e-01
1.0820714e+00  1.03144e+00
1.0820870e+00  1.03359e+00
1.0821025e+00  1.04219e+00
1.0821181e+00  1.03094e+00
1.0821337e+00  1.02214e+00
1.0821493e+00  1.02662e+00
1.0821650e+00  1.02196e+00
1.0821806e+00  1.02285e+00
1.0821962e+00  1.01854e+00
1.0822117e+00  1.00710e+00
1.0822273e+00  9.99444e-01
1.0822429e+00  1.00586e+00
1.0822584e+00  1.01058e+00
1.0822740e+00  1.01514e+00
1.0822896e+00  1.02891e+00
1.0823051e+00  1.03297e+00
1.0823208e+00  1.03641e+00
1.0823364e+00  1.04708e+00
1.0823520e+00  1.04937e+00
1.0823675e+00  1.05985e+00
1.0823831e+00  1.07016e+00
1.0823987e+00  1.07393e+00
1.0824142e+00  1.05007e+00
1.0824298e+00  1.06414e+00
1.0824455e+00  1.05622e+00
1.0824610e+00  1.05411e+00
1.0824766e+00  1.06003e+00
1.0824922e+00  1.05881e+00
1.0825077e+00  1.05460e+00
1.0825233e+00  1.05439e+00
1.0825389e+00  1.06021e+00
1.0825545e+00  1.05327e+00
1.0825700e+00  1.05009e+00
1.0825856e+00  1.04464e+00
1.0826013e+00  1.04315e+00
1.0826168e+00  1.03874e+00
1.0826324e+00  1.02368e+00
1.0826480e+00  1.01429e+00
1.0826635e+00  1.00725e+00
1.0826791e+00  1.00318e+00
1.0826947e+00  9.97096e-01
1.0827102e+00  9.81908e-01
1.0827258e+00  9.73550e-01
1.0827415e+00  9.56942e-01
1.0827571e+00  9.37302e-01
1.0827726e+00  9.17191e-01
1.0827882e+00  9.12485e-01
1.0828038e+00  9.10744e-01
1.0828193e+00  8.99559e-01
1.0828349e+00  9.00838e-01
1.0828505e+00  8.92285e-01
1.0828660e+00  8.83150e-01
1.0828816e+00  8.84536e-01
1.0828973e+00  8.92857e-01
1.0829129e+00  8.96328e-01
1.0829284e+00  9.01657e-01
1.0829440e+00  8.36277e-01
1.0829596e+00  9.12388e-01
1.0829751e+00  9.18276e-01
1.0829907e+00  9.19606e-01
1.0830063e+00  9.17122e-01
1.0830218e+00  9.12939e-01
1.0830374e+00  9.11066e-01
1.0830531e+00  8.96091e-01
1.0830686e+00  8.89133e-01
1.0830842e+00  8.84322e-01
1.0830998e+00  8.73578e-01
1.0831154e+00  8.62518e-01
1.0831309e+00  8.59995e-01
1.0831465e+00  8.63588e-01
1.0831621e+00  8.66323e-01
1.0831776e+00  8.68861e-01
1.0831933e+00  8.72397e-01
1.0832089e+00  8.82098e-01
1.0832244e+00  8.87605e-01
1.0832400e+00  8.86256e-01
1.0832556e+00  8.94699e-01
1.0832712e+00  9.09106e-01
1.0832867e+00  9.16301e-01
1.0833023e+00  9.23737e-01
1.0833179e+00  9.32508e-01
1.0833334e+00  9.40428e-01
1.0833491e+00  9.44250e-01
1.0833647e+00  9.54846e-01
1.0833802e+00  9.55393e-01
1.0833958e+00  9.53431e-01
1.0834114e+00  9.58688e-01
1.0834269e+00  9.71577e-01
1.0834425e+00  9.61009e-01
1.0834581e+00  9.74297e-01
1.0834738e+00  9.69690e-01
1.0834893e+00  9.81741e-01
1.0835049e+00  9.86219e-01
1.0835205e+00  9.70573e-01
1.0835360e+00  9.82846e-01
1.0835516e+00  9.73930e-01
1.0835672e+00  9.63751e-01
1.0835827e+00  9.86629e-01
1.0835983e+00  9.93360e-01
1.0836139e+00  1.00925e+00
1.0836294e+00  1.01901e+00
1.0836451e+00  1.02246e+00
1.0836607e+00  1.02952e+00
1.0836763e+00  1.03038e+00
1.0836918e+00  1.03225e+00
1.0837074e+00  1.03501e+00
1.0837230e+00  1.03454e+00
1.0837385e+00  1.02886e+00
1.0837541e+00  1.02709e+00
1.0837698e+00  1.02472e+00
1.0837852e+00  1.01459e+00
1.0838009e+00  9.99970e-01
1.0838165e+00  1.01833e+00
1.0838321e+00  1.02040e+00
1.0838476e+00  1.02898e+00
1.0838632e+00  1.02974e+00
1.0838788e+00  1.03032e+00
1.0838943e+00  1.02674e+00
1.0839099e+00  1.02766e+00
1.0839256e+00  1.02673e+00
1.0839411e+00  1.02283e+00
1.0839567e+00  1.02890e+00
1.0839723e+00  1.02711e+00
1.0839878e+00  1.02735e+00
1.0840034e+00  1.03375e+00
1.0840190e+00  1.03755e+00
1.0840346e+00  1.04122e+00
1.0840501e+00  1.04553e+00
1.0840657e+00  1.05510e+00
1.0840814e+00  1.06007e+00
1.0840969e+00  1.05452e+00
1.0841125e+00  1.04857e+00
1.0841281e+00  1.04733e+00
1.0841436e+00  1.04974e+00
1.0841592e+00  1.04785e+00
1.0841748e+00  1.03351e+00
1.0841903e+00  1.03775e+00
1.0842059e+00  1.04230e+00
1.0842216e+00  1.04091e+00
1.0842372e+00  1.05330e+00
1.0842527e+00  1.05461e+00
1.0842683e+00  1.04738e+00
1.0842839e+00  1.06429e+00
1.0842994e+00  1.04078e+00
1.0843150e+00  1.04208e+00
1.0843306e+00  1.03658e+00
1.0843461e+00  1.02662e+00
1.0843617e+00  1.02977e+00
1.0843774e+00  1.02154e+00
1.0843930e+00  1.01535e+00
1.0844085e+00  1.00858e+00
1.0844241e+00  1.00662e+00
1.0844397e+00  9.96755e-01
1.0844552e+00  1.00009e+00
1.0844708e+00  1.00826e+00
1.0844864e+00  1.01296e+00
1.0845019e+00  1.02473e+00
1.0845176e+00  1.02469e+00
1.0845332e+00  1.02280e+00
1.0845487e+00  1.01516e+00
1.0845643e+00  1.01307e+00
1.0845799e+00  1.01289e+00
1.0845955e+00  1.01434e+00
1.0846110e+00  1.01514e+00
1.0846266e+00  1.01929e+00
1.0846422e+00  1.02374e+00
1.0846577e+00  1.01486e+00
1.0846734e+00  1.01428e+00
1.0846890e+00  1.02701e+00
1.0847045e+00  1.03020e+00
1.0847201e+00  1.02711e+00
1.0847357e+00  1.02244e+00
1.0847512e+00  1.01259e+00
1.0847668e+00  1.01150e+00
1.0847825e+00  1.01104e+00
1.0847982e+00  9.97925e-01
