wave(A) vmax(km/s)
5302.3 115.83208791140419
5594.47 117.01965698710154
5857.45 104.10900652004615
5934.66 107.44716847165512
6003.01 112.63728441660307
6065.48 115.68083188740614
6102.72 115.87517533238697
6270.23 108.90980196846054
6439.08 115.90229567535431
6449.82 114.2644713006089
6462.57 113.7304094995452
6677.99 112.92557352296582
6717.68 101.7080184497891
7122.19 95.78370313178738
7148.15 114.05859286653084
7445.75 96.34174380341469
7462.31 111.86714070303418
7555.6 110.30169597112298
7568.89 109.95599547625046
7574.04 108.80290429267373
8085.18 105.02367598205606
8648.47 110.76900598731991
8757.19 109.57120395216651
8912.07 111.91813242901343
4934.08 119.35404371740468
5455.61 115.99263464579074
5853.67 106.52498934171288
6141.71 115.34501852488333
6496.9 118.38321465651724
6707.8 98.99093331014514
8426.51 112.71269253051257
8688.62 112.23323225263147
